Wx(rad/s)	Wy(rad/s)	Wz(rad/s)	Ax(rad/s^2)	Ay(rad/s^2)	Az(rad/s^2)	
-0.000000	0.000000	-0.639786	0.000000	-0.000000	-0.132769	
-0.000000	0.000000	-0.603212	0.000000	-0.000000	0.051275	
-0.000000	0.000000	-0.557959	0.000000	-0.000000	0.224200	
-0.000000	0.000000	-0.505455	0.000000	-0.000000	0.379194	
-0.000000	0.000000	-0.447381	-0.000000	-0.000000	0.511815	
-0.000000	0.000000	-0.385513	-0.000000	-0.000000	0.620094	
-0.000000	0.000000	-0.321567	-0.000000	-0.000000	0.704227	
-0.000000	0.000000	-0.257091	-0.000000	-0.000000	0.766019	
-0.000000	0.000000	-0.193396	-0.000000	-0.000000	0.808271	
-0.000000	0.000000	-0.131525	-0.000000	-0.000000	0.834221	
-0.000000	0.000000	-0.072259	-0.000000	-0.000000	0.847121	
-0.000000	0.000000	-0.016140	-0.000000	-0.000000	0.849959	
-0.000000	-0.000000	0.036492	-0.000000	-0.000000	0.845313	
-0.000000	-0.000000	0.085461	-0.000000	-0.000000	0.835298	
-0.000000	-0.000000	0.130717	-0.000000	-0.000000	0.821583	
-0.000000	-0.000000	0.172302	-0.000000	-0.000000	0.805433	
-0.000000	-0.000000	0.210320	-0.000000	-0.000000	0.787776	
-0.000000	-0.000000	0.244918	-0.000000	-0.000000	0.769263	
-0.000000	-0.000000	0.276268	-0.000000	-0.000000	0.750333	
-0.000000	-0.000000	0.304551	-0.000000	-0.000000	0.731258	
-0.000000	-0.000000	0.329949	-0.000000	-0.000000	0.712189	
-0.000000	-0.000000	0.352641	-0.000000	-0.000000	0.693186	
-0.000000	-0.000000	0.372796	-0.000000	-0.000000	0.674248	
-0.000000	-0.000000	0.390572	-0.000000	-0.000000	0.655328	
-0.000000	-0.000000	0.406111	-0.000000	-0.000000	0.636349	
-0.000000	-0.000000	0.419544	-0.000000	-0.000000	0.617218	
-0.000000	-0.000000	0.430987	-0.000000	-0.000000	0.597828	
-0.000000	-0.000000	0.440541	-0.000000	-0.000000	0.578069	
-0.000000	-0.000000	0.448296	-0.000000	-0.000000	0.557833	
-0.000000	-0.000000	0.454330	-0.000000	-0.000000	0.537013	
-0.000000	-0.000000	0.458707	-0.000000	-0.000000	0.515511	
-0.000000	-0.000000	0.461485	-0.000000	-0.000000	0.493238	
-0.000000	-0.000000	0.462712	-0.000000	-0.000000	0.470122	
-0.000000	-0.000000	0.462429	-0.000000	-0.000000	0.446103	
-0.000000	-0.000000	0.460671	-0.000000	-0.000000	0.421145	
-0.000000	-0.000000	0.457472	-0.000000	-0.000000	0.395234	
-0.000000	-0.000000	0.452861	-0.000000	-0.000000	0.368384	
-0.000000	-0.000000	0.446867	-0.000000	-0.000000	0.340640	
-0.000000	-0.000000	0.439523	-0.000000	-0.000000	0.312079	
-0.000000	-0.000000	0.430865	-0.000000	-0.000000	0.282813	
-0.000000	-0.000000	0.420934	-0.000000	-0.000000	0.252993	
-0.000000	-0.000000	0.409779	-0.000000	-0.000000	0.222803	
-0.000000	-0.000000	0.397460	-0.000000	-0.000000	0.192458	
-0.000000	-0.000000	0.384044	-0.000000	-0.000000	0.162200	
-0.000000	-0.000000	0.369611	-0.000000	-0.000000	0.132290	
-0.000000	-0.000000	0.354254	-0.000000	-0.000000	0.102996	
-0.000000	-0.000000	0.338074	-0.000000	-0.000000	0.074579	
-0.000000	-0.000000	0.321182	-0.000000	-0.000000	0.047285	
-0.000000	-0.000000	0.303697	-0.000000	-0.000000	0.021329	
-0.000000	-0.000000	0.285741	0.000000	-0.000000	-0.003118	
-0.000000	-0.000000	0.267440	0.000000	0.000000	-0.025934	
-0.000000	-0.000000	0.248916	0.000000	0.000000	-0.047058	
-0.000000	-0.000000	0.230286	0.000000	0.000000	-0.066482	
-0.000000	-0.000000	0.211658	0.000000	0.000000	-0.084261	
0.000000	-0.000000	0.193131	0.000000	0.000000	-0.100496	
0.000000	-0.000000	0.174787	0.000000	0.000000	-0.115336	
0.000000	-0.000000	0.156694	0.000000	0.000000	-0.128961	
0.000000	-0.000000	0.138906	0.000000	0.000000	-0.141575	
0.000000	-0.000000	0.121458	-0.000000	0.000000	-0.153398	
0.000000	-0.000000	0.104372	-0.000000	0.000000	-0.164654	
0.000000	-0.000000	0.087652	-0.000000	0.000000	-0.175568	
0.000000	-0.000000	0.071291	-0.000000	0.000000	-0.186358	
0.000000	-0.000000	0.055267	-0.000000	0.000000	-0.197233	
0.000000	-0.000000	0.039549	-0.000000	0.000000	-0.208393	
0.000000	-0.000000	0.024095	-0.000000	0.000000	-0.220026	
0.000000	-0.000000	0.008855	-0.000000	0.000000	-0.232311	
-0.000000	-0.000000	-0.006230	-0.000000	0.000000	-0.245418	
-0.000000	0.000000	-0.021224	-0.000000	0.000000	-0.259512	
-0.000000	0.000000	-0.036198	-0.000000	0.000000	-0.274754	
-0.000000	0.000000	-0.051227	-0.000000	0.000000	-0.291305	
-0.000000	0.000000	-0.066394	-0.000000	0.000000	-0.309324	
-0.000000	0.000000	-0.081783	-0.000000	0.000000	-0.328974	
-0.000000	0.000000	-0.097487	-0.000000	0.000000	-0.350421	
-0.000000	0.000000	-0.113600	-0.000000	0.000000	-0.373837	
-0.000000	0.000000	-0.130222	-0.000000	0.000000	-0.399393	
-0.000000	0.000000	-0.147459	-0.000000	0.000000	-0.427265	
-0.000000	0.000000	-0.165420	-0.000000	0.000000	-0.457624	
-0.000000	0.000000	-0.184216	-0.000000	0.000000	-0.490631	
-0.000000	0.000000	-0.203962	-0.000000	0.000000	-0.526429	
-0.000000	0.000000	-0.224775	-0.000000	0.000000	-0.565125	
-0.000000	0.000000	-0.246768	-0.000000	0.000000	-0.606772	
-0.000000	0.000000	-0.270048	-0.000000	0.000000	-0.651343	
-0.000000	0.000000	-0.294711	-0.000000	0.000000	-0.698688	
-0.000000	0.000000	-0.320833	-0.000000	0.000000	-0.748493	
-0.000000	0.000000	-0.348459	-0.000000	0.000000	-0.800217	
-0.000000	0.000000	-0.377592	-0.000000	0.000000	-0.853018	
-0.000000	0.000000	-0.408168	-0.000000	-0.000000	-0.905671	
-0.000000	0.000000	-0.440042	-0.000000	-0.000000	-0.956481	
-0.000000	0.000000	-0.472957	-0.000000	-0.000000	-1.003190	
-0.000000	0.000000	-0.506513	-0.000000	-0.000000	-1.042930	
-0.000000	0.000000	-0.540142	-0.000000	-0.000000	-1.072205	
-0.000000	0.000000	-0.573082	-0.000000	-0.000000	-1.086979	
-0.000000	0.000000	-0.604358	-0.000000	-0.000000	-1.082885	
-0.000000	0.000000	-0.632788	-0.000000	-0.000000	-1.055610	
-0.000000	0.000000	-0.657014	-0.000000	-0.000000	-1.001435	
-0.000000	0.000000	-0.675571	0.000000	-0.000000	-0.917925	
-0.000000	0.000000	-0.686992	0.000000	-0.000000	-0.804617	
-0.000000	0.000000	-0.689946	0.000000	-0.000000	-0.663576	
-0.000000	0.000000	-0.683395	0.000000	-0.000000	-0.499589	
-0.000000	0.000000	-0.666731	0.000000	-0.000000	-0.319882	
